,brown-haired,light brown,blond,red hair,black
woman0photo0,0.03820598006644518,0.06312292358803986,0.8704318936877077,,0.02823920265780731
woman0photo1,0.12468513853904283,0.25440806045340053,0.5780856423173804,,0.042821158690176324
woman0photo2,,,,,
woman0photo3,0.19830949284785435,0.4245773732119636,0.17620286085825748,0.16905071521456436,0.03185955786736021
woman0photo5,0.3467153284671533,0.4051094890510949,0.16058394160583941,0.0036496350364963502,0.08394160583941605
woman0photo6,,,,,
woman1photo0,0.12373737373737374,0.398989898989899,0.45202020202020204,,0.025252525252525252
woman1photo1,0.1485736414095779,0.21505098747902412,0.6180456951077836,0.000516328901510262,0.01781334710210404
woman1photo3,0.1444043321299639,0.36462093862815886,0.4187725631768953,,0.07220216606498195
woman3photo0,,,,,
woman4photo0,0.2032520325203252,0.34552845528455284,0.41114982578397213,0.005807200929152149,0.03426248548199768
woman4photo1,0.3073015873015873,0.3453968253968254,0.2946031746031746,0.0006349206349206349,0.05206349206349206
woman4photo2,0.23092926490984744,0.3737864077669903,0.2538141470180305,0.011095700416088766,0.130374479889043
woman4photo3,0.3205226748654881,0.2751729438893159,0.3178324365872406,0.014219830899308224,0.0722521137586472
woman4photo4,0.2718027734976888,0.31309707241910634,0.3106317411402157,0.01448382126348228,0.08998459167950694
woman5photo0,0.24859287054409004,0.3151969981238274,0.39305816135084426,0.005628517823639775,0.0375234521575985
woman5photo1,0.19913185024416713,0.41237113402061853,0.3168746608790016,,0.0716223548562127
woman5photo2,0.050129485756566776,0.34646688864224934,0.5863854975952645,,0.01701812800591935
woman5photo4,,,,,
woman6photo1,0.09895833333333333,0.2864583333333333,0.515625,,0.09895833333333333
woman7photo0,0.06441717791411043,0.09815950920245399,0.7852760736196319,,0.05214723926380368
woman7photo1,0.20344544708777687,0.27645611156685806,0.4003281378178835,0.04812687995624829,0.07164342357123325
woman7photo2,0.16091954022988506,0.3308702791461412,0.47372742200328405,0.016420361247947456,0.0180623973727422
woman8photo1,0.17540983606557378,0.31475409836065577,0.35737704918032787,0.0942622950819672,0.05819672131147541
woman8photo2,0.18536585365853658,0.23902439024390243,0.5073170731707317,0.004878048780487805,0.06341463414634146
woman8photo5,0.10089020771513353,0.2551928783382789,0.5964391691394659,,0.04747774480712166
